Ground state energy (a.u.):
	-1341.2951430318
Center of Mass (Angs):
	CMx	CMy	CMz
	  20.4970420302	  18.2330788751	  30.6560231660
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8945028923	   7.6726272068	  -2.4698807047
Excitation energy (eV):
	Root	Energy
	   1	2.333545136141596
Unrelaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	-0.040806052300702	-1.557142931349249	-1.458574567054366	  2.1340
Transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.531785124745294	2.727100409417280	-0.466986774034654	  2.8174
Velocity form of transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.031658288628376	0.169944478279685	0.012615512959478	  0.1733
Magnetic transition dipole moments (a.u.):
	Root	Lx	Ly	Lz
	   1	-0.404187649278911	-0.114864881942128	0.020851221688315	  0.1080	 -0.0753
Total excited state gradient (Hartree/Bohr):
	Atom	dE/dX	dE/dY	dE/dZ
    1       0.0005820680      -0.0022488627      -0.0017975545
    2      -0.0013669503       0.0084052584      -0.0161922616
    3       0.0003804981      -0.0018221609      -0.0017560649
    4      -0.0000380182      -0.0020989021       0.0023894745
    5      -0.0034128822       0.0121583141       0.0129093649
    6      -0.0019270534      -0.0011564601      -0.0013165997
    7      -0.0043285961       0.0162569574      -0.0231150587
    8       0.0035841636      -0.0175503715       0.0162393610
    9       0.0001826543       0.0010367427       0.0010234968
   10       0.0017855208       0.0000753053      -0.0011473835
   11       0.0076424040      -0.0324251444      -0.0074637925
   12       0.0064588944      -0.0208446421      -0.0174785054
   13       0.0030316905       0.0065811451       0.0022060648
   14       0.0007473448      -0.0017667062       0.0018941811
   15      -0.0025942775       0.0008464673      -0.0010587315
   16      -0.0010039926      -0.0018078510       0.0024248268
   17      -0.0028272888       0.0268109134       0.0148645056
   18      -0.0063740088       0.0256864178       0.0220736583
   19       0.0012728964       0.0016258679      -0.0007024836
   20       0.0042709302      -0.0154086414       0.0005937863
   21      -0.0093180606      -0.0058612877       0.0011716203
   22       0.0036764982      -0.0361177396       0.0153163619
   23      -0.0023727699       0.0145723504       0.0025892259
   24       0.0007606696       0.0269938876      -0.0219229409
   25       0.0009948066       0.0011416821      -0.0018004197
   26       0.0015716218      -0.0001636136       0.0031689115
   27      -0.0015621851      -0.0005163137       0.0016375096
   28       0.0000252152       0.0008001979       0.0004053778
   29       0.0026746072      -0.0037293861       0.0005046227
   30       0.0032848284      -0.0172412882      -0.0053736055
   31      -0.0024755908       0.0002114733      -0.0013241209
   32       0.0015204087       0.0008491150      -0.0006942780
   33       0.0015514587      -0.0223934751       0.0025436566
   34       0.0007871539      -0.0018207383      -0.0014758283
   35       0.0019483842      -0.0163956766       0.0150505424
   36      -0.0028482072       0.0153996596       0.0179238201
   37       0.0017499968      -0.0030262025      -0.0082854685
   38      -0.0015793155       0.0185732576      -0.0099001369
   39       0.0027155604       0.0022849835       0.0021149626
   40      -0.0023180722       0.0016945375       0.0005939582
   41      -0.0019776570       0.0101435202      -0.0198400046
   42      -0.0024918328       0.0073601520       0.0002736401
   43      -0.0012698391       0.0022135574       0.0014643298
   44      -0.0011136761       0.0026737006       0.0012679802
