Ground state energy (a.u.):
	-1341.2880769759
Center of Mass (Angs):
	CMx	CMy	CMz
	  13.9147451140	  19.7576929059	  28.3037385348
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.2505404484	   8.2909157561	  -2.1320947853
Excitation energy (eV):
	Root	Energy
	   1	2.405042343900413
Unrelaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	1.484786670356071	-2.156950367819914	-1.178163950381327	  2.8714
Transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.346646292660923	2.674937726587769	-0.399434132292697	  2.7267
Velocity form of transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.024029958821330	0.157400266992985	0.016450845132372	  0.1601
Magnetic transition dipole moments (a.u.):
	Root	Lx	Ly	Lz
	   1	-0.331460852209445	-0.044881262083575	-0.042289940259524	 -0.0117	  0.0023
Total excited state gradient (Hartree/Bohr):
	Atom	dE/dX	dE/dY	dE/dZ
    1       0.0005816728      -0.0020624584      -0.0019212979
    2      -0.0001693608       0.0110040646      -0.0176212696
    3       0.0001781155      -0.0017354807      -0.0018241714
    4       0.0001430496      -0.0016616268       0.0023882777
    5      -0.0034322044       0.0144141099       0.0144781065
    6      -0.0014489231      -0.0013203196      -0.0013210950
    7      -0.0003489041       0.0202891103      -0.0256941430
    8       0.0015592413      -0.0214584153       0.0165410044
    9       0.0004544536       0.0003342118       0.0005978147
   10       0.0019610215       0.0009037003      -0.0017900714
   11       0.0056011005      -0.0414304644      -0.0076887775
   12       0.0043050004      -0.0242426201      -0.0124586054
   13      -0.0057222434       0.0092664301      -0.0009871865
   14       0.0020531855      -0.0009069237       0.0013068928
   15      -0.0028718159       0.0011491786      -0.0015674705
   16      -0.0000772961      -0.0013075013       0.0021628004
   17      -0.0104028743       0.0289066931       0.0202959713
   18      -0.0050201319       0.0270366255       0.0215005315
   19       0.0019145213       0.0020368457      -0.0012922079
   20       0.0004386084      -0.0178529473      -0.0007410236
   21       0.0223130437      -0.0002137460       0.0027924791
   22       0.0033393419      -0.0418372238       0.0173415556
   23      -0.0011622690       0.0165031366       0.0074456151
   24      -0.0063383863       0.0268926705      -0.0261722769
   25       0.0011285936       0.0002313030      -0.0009845563
   26       0.0016632763       0.0014156947       0.0024635435
   27      -0.0014421682      -0.0011708528       0.0013014005
   28       0.0011752632       0.0002509687       0.0004650928
   29      -0.0176428887      -0.0034224536      -0.0023316471
   30       0.0074197522      -0.0213311191       0.0058690655
   31      -0.0035432783       0.0002752625      -0.0031012584
   32       0.0033845655       0.0015085430      -0.0031037115
   33      -0.0001775705      -0.0228404892       0.0037936347
   34       0.0020622301      -0.0003773151      -0.0004544741
   35       0.0084221028      -0.0237044478       0.0073291307
   36      -0.0027691329       0.0199507923       0.0228373443
   37      -0.0020374877      -0.0025534458      -0.0021668141
   38      -0.0002069917       0.0208280806      -0.0125107110
   39       0.0018256631       0.0025853372       0.0013638638
   40      -0.0031703216       0.0016415962       0.0004854916
   41       0.0014327674       0.0124454939      -0.0297415479
   42      -0.0023971382       0.0078694438      -0.0003206669
   43      -0.0011287166       0.0017770094       0.0020452915
   44      -0.0018464662       0.0019135492       0.0009900762
