Ground state energy (a.u.):
	-1341.2919346441
Center of Mass (Angs):
	CMx	CMy	CMz
	  10.9567115825	  17.5496946106	  28.1156326529
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0565019304	   7.5008497768	  -2.2308931250
Excitation energy (eV):
	Root	Energy
	   1	2.282425041111467
Unrelaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	1.014628344576028	-0.903514892425453	-1.451359147213536	  1.9880
Transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	0.360979109854920	-2.808140108326564	0.439858862486594	  2.8652
Velocity form of transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	0.025852254545958	-0.181269771503568	-0.013622207897376	  0.1836
Magnetic transition dipole moments (a.u.):
	Root	Lx	Ly	Lz
	   1	0.359116860712792	0.055479346304872	0.014563211654191	  0.0198	 -0.0116
Total excited state gradient (Hartree/Bohr):
	Atom	dE/dX	dE/dY	dE/dZ
    1       0.0012200900      -0.0023927752      -0.0017510029
    2      -0.0009169422       0.0067862710      -0.0132927901
    3       0.0009935823      -0.0011920484      -0.0017967866
    4       0.0002431728      -0.0026240987       0.0027670518
    5      -0.0018209696       0.0107710188       0.0107216839
    6      -0.0021771697      -0.0016993435      -0.0014709909
    7      -0.0020646703       0.0141784238      -0.0216265777
    8      -0.0012773280      -0.0118151097       0.0173546028
    9       0.0003704178       0.0005681066       0.0011244320
   10       0.0020758308       0.0000670637      -0.0001749187
   11       0.0073578712      -0.0308336437      -0.0083300745
   12       0.0024286925      -0.0163477733      -0.0186958635
   13       0.0004601125       0.0051270672       0.0015341839
   14       0.0004480297      -0.0008384536       0.0014467331
   15      -0.0023622818       0.0007963588      -0.0005125951
   16      -0.0013856740      -0.0016064683       0.0024949650
   17      -0.0118618291       0.0244598306       0.0169266753
   18      -0.0049521738       0.0225558929       0.0196502682
   19       0.0018212077       0.0018563932      -0.0006273478
   20       0.0020364879      -0.0118990139      -0.0020576031
   21       0.0168669370      -0.0066528832       0.0015463804
   22       0.0028929169      -0.0312300843       0.0147952032
   23      -0.0025476362       0.0117553244       0.0008096337
   24      -0.0087320939       0.0210837507      -0.0235481131
   25      -0.0000972385       0.0000130408      -0.0022437424
   26       0.0048112031       0.0007186225       0.0038466677
   27      -0.0025197378      -0.0014858126       0.0012796270
   28      -0.0004897600       0.0006052039       0.0018433865
   29      -0.0033373936      -0.0078474005       0.0000542316
   30       0.0027260515      -0.0129314874      -0.0080926950
   31      -0.0016708719      -0.0007178152      -0.0020205543
   32       0.0017218799       0.0007942276      -0.0010923583
   33       0.0002824001      -0.0167677008       0.0043171885
   34       0.0019352419      -0.0011675916      -0.0013474081
   35      -0.0003202257      -0.0099523079       0.0128265907
   36      -0.0012648590       0.0124282037       0.0123000612
   37       0.0023294130      -0.0106499647      -0.0035630306
   38      -0.0011866101       0.0165318234      -0.0060990328
   39       0.0013156064       0.0024317902       0.0023460936
   40      -0.0016131371       0.0009177431       0.0007920552
   41       0.0012332677       0.0084652340      -0.0139620010
   42      -0.0011875152       0.0130584897      -0.0016679544
   43      -0.0008265854       0.0021141480       0.0013779392
   44      -0.0009577095       0.0025677479       0.0018177868
