Ground state energy (a.u.):
	-1341.2908892033
Center of Mass (Angs):
	CMx	CMy	CMz
	   7.6280272378	  17.5386724934	  26.0826733512
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.2075777116	   7.9019738256	  -2.1693579534
Excitation energy (eV):
	Root	Energy
	   1	2.330261431689750
Unrelaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	-0.323504316068767	-1.467592687493523	-1.397163705576617	  2.0520
Transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.280589076523668	2.771926038122568	-0.384399387639482	  2.8125
Velocity form of transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.020980058862563	0.172528516152224	0.016737768130163	  0.1746
Magnetic transition dipole moments (a.u.):
	Root	Lx	Ly	Lz
	   1	-0.305269410999136	-0.038346204932501	-0.050569141534510	  0.0012	 -0.0124
Total excited state gradient (Hartree/Bohr):
	Atom	dE/dX	dE/dY	dE/dZ
    1       0.0004904969      -0.0024248781      -0.0017964546
    2      -0.0005236896       0.0095205278      -0.0161853186
    3       0.0006875284      -0.0020097059      -0.0019949687
    4      -0.0002570829      -0.0016729451       0.0021953293
    5      -0.0031111329       0.0127671184       0.0133087621
    6      -0.0001887436       0.0189939753      -0.0263251430
    7      -0.0014263062      -0.0013618440      -0.0027671582
    8       0.0004078174      -0.0198592128       0.0196771066
    9      -0.0011993438      -0.0000964332       0.0008468261
   10       0.0013649617       0.0005974942      -0.0023214216
   11       0.0051051623      -0.0366874984      -0.0066717465
   12       0.0038399989      -0.0233104876      -0.0086138151
   13       0.0038665568       0.0095488312      -0.0026117641
   14       0.0019008302      -0.0004321022       0.0025742459
   15      -0.0001994233      -0.0012431422       0.0019744216
   16      -0.0050746704      -0.0002582244      -0.0031303345
   17      -0.0034508605       0.0220906934       0.0172885951
   18       0.0015975870       0.0284777721       0.0183360147
   19       0.0020538351       0.0020063451      -0.0014783168
   20       0.0025701072      -0.0159078096       0.0012194228
   21      -0.0111784493       0.0015456984      -0.0000546454
   22      -0.0006092609      -0.0331185804       0.0180815600
   23       0.0052930974       0.0246711177      -0.0216417732
   24       0.0015875514       0.0148100603       0.0051383220
   25      -0.0001861472      -0.0002413657      -0.0013247826
   26       0.0017043514       0.0009285320       0.0021264040
   27      -0.0015339449      -0.0010668348       0.0009121905
   28      -0.0105266407      -0.0003979699      -0.0042344827
   29       0.0071273044      -0.0265329246       0.0063194354
   30       0.0004465282      -0.0003349284       0.0007686583
   31       0.0027623508       0.0007296024      -0.0029552442
   32      -0.0033276542       0.0009435812      -0.0037889915
   33       0.0003740990      -0.0195752119       0.0041682820
   34       0.0009595250      -0.0010548790      -0.0012810639
   35       0.0065868484      -0.0258885785       0.0077452479
   36       0.0022223165       0.0193645309      -0.0082228783
   37      -0.0046198267       0.0194739473       0.0157806253
   38       0.0019237057       0.0025251031       0.0009295863
   39       0.0012919207      -0.0038461679      -0.0021407911
   40      -0.0022349232       0.0007560054      -0.0008031580
   41      -0.0010769510       0.0143699461      -0.0204228825
   42      -0.0033851865       0.0089858492      -0.0014686401
   43      -0.0009421228       0.0014936228       0.0014888518
   44      -0.0011121203       0.0027213709       0.0013558881
