Ground state energy (a.u.):
	-1341.2837886503
Center of Mass (Angs):
	CMx	CMy	CMz
	   4.6909909243	  15.3095458335	  26.0385293286
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.2937376060	   2.5156719134	  -1.0818942982
Excitation energy (eV):
	Root	Energy
	   1	2.060508512592100
Unrelaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	-0.005564776552596	6.244607611834630	-1.761763362749442	  6.4884
Transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	0.261646590845545	-3.043122745722775	0.412728097536772	  3.0821
Velocity form of transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	0.021826264372643	-0.226749747404791	-0.010854680888639	  0.2281
Magnetic transition dipole moments (a.u.):
	Root	Lx	Ly	Lz
	   1	0.168609921123070	0.043845339801561	-0.012990354199106	  0.0947	 -0.0808
Total excited state gradient (Hartree/Bohr):
	Atom	dE/dX	dE/dY	dE/dZ
    1       0.0012947938      -0.0032194024      -0.0013426932
    2      -0.0000367892      -0.0101674019       0.0150054215
    3       0.0018470605      -0.0006631098      -0.0007290671
    4       0.0008908301      -0.0023308740       0.0023996454
    5       0.0041388115      -0.0147926337      -0.0117299912
    6      -0.0064804137      -0.0126591542       0.0095323401
    7      -0.0016161982      -0.0024795646      -0.0019868986
    8      -0.0042195328       0.0211643133      -0.0087303637
    9       0.0003423611       0.0020461151       0.0028257349
   10       0.0052945691      -0.0021128179      -0.0022086747
   11      -0.0036878667       0.0070605593      -0.0014890929
   12      -0.0066386131       0.0212029761      -0.0057705851
   13       0.0114545865       0.0029065543       0.0031385004
   14      -0.0017000076       0.0001995403       0.0004220574
   15       0.0005244722      -0.0007686071       0.0022213488
   16      -0.0026617514      -0.0000640650      -0.0019207531
   17      -0.0016080891      -0.0153424818      -0.0029469013
   18      -0.0044939970      -0.0139309249       0.0166696885
   19       0.0038586940       0.0008053974      -0.0025093930
   20      -0.0021252213       0.0227356762      -0.0116539185
   21       0.0110461160      -0.0077713207       0.0035743758
   22       0.0024641075       0.0117666383       0.0028545773
   23      -0.0035645840      -0.0181216458      -0.0156576341
   24       0.0035489060      -0.0158168060      -0.0162175329
   25      -0.0005547607       0.0001078678      -0.0015577526
   26       0.0019346161      -0.0007107859       0.0001171903
   27      -0.0024221470      -0.0019559332       0.0010479176
   28      -0.0031640274      -0.0101179996      -0.0027950546
   29      -0.0016961375       0.0142342297       0.0049469270
   30      -0.0004602994      -0.0021730597       0.0034038583
   31       0.0006958669       0.0008010353      -0.0031904491
   32      -0.0003529250      -0.0008769575      -0.0033927723
   33      -0.0025451350       0.0240909022       0.0086119771
   34       0.0004625177      -0.0001554157      -0.0009794885
   35      -0.0007554430       0.0202729768      -0.0098622158
   36      -0.0004782581      -0.0095964285       0.0158079781
   37       0.0017670229      -0.0065622657      -0.0166391492
   38       0.0014236736       0.0016982882       0.0013270925
   39       0.0028262699      -0.0122632201       0.0150984532
   40      -0.0020898603       0.0000756857       0.0017263554
   41      -0.0002460023      -0.0068031107       0.0166018541
   42      -0.0018187964       0.0160552103      -0.0076921798
   43      -0.0001655876       0.0018403059       0.0017673288
   44      -0.0002328316       0.0023917146       0.0019019395
