Ground state energy (a.u.):
	-1341.2891433569
Center of Mass (Angs):
	CMx	CMy	CMz
	  -2.0258324717	  15.8787774873	  27.1957681659
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3227307832	   7.6513763221	  -2.1342881051
Excitation energy (eV):
	Root	Energy
	   1	2.313510587725927
Unrelaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	0.843950429985450	-1.270845783835187	-1.351843350824464	  2.0383
Transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.184437532297843	2.787583508969028	-0.414616833629265	  2.8243
Velocity form of transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.018481831237841	0.176696363777610	0.014632868362294	  0.1783
Magnetic transition dipole moments (a.u.):
	Root	Lx	Ly	Lz
	   1	-0.345568039859225	-0.005571650658833	-0.069907212962396	 -0.0772	  0.0515
Total excited state gradient (Hartree/Bohr):
	Atom	dE/dX	dE/dY	dE/dZ
    1       0.0215629763      -0.0078778007       0.0038037121
    2      -0.0018313142       0.0122149681       0.0012227127
    3       0.0016649056       0.0173228564      -0.0251779854
    4      -0.0041697879       0.0226675715       0.0193890968
    5      -0.0006318771       0.0173945417      -0.0078506992
    6      -0.0135799507       0.0275156936       0.0179995619
    7       0.0002648505      -0.0120673440      -0.0018729195
    8       0.0001486667      -0.0009456236       0.0013006737
    9      -0.0004484823       0.0004316091       0.0008907387
   10       0.0050730246      -0.0367891027      -0.0072984594
   11       0.0023719002      -0.0000019988      -0.0007119485
   12      -0.0019047327       0.0011519083      -0.0006517684
   13       0.0024358299       0.0040890005      -0.0007714071
   14      -0.0034853456      -0.0117488083       0.0211951044
   15      -0.0004492440       0.0076912072      -0.0136192039
   16      -0.0037847640       0.0103285705       0.0114422536
   17       0.0009460917      -0.0167049283      -0.0172313899
   18       0.0011905309      -0.0024358178      -0.0017555728
   19       0.0005048796      -0.0020300946       0.0025176852
   20      -0.0076081660       0.0237890716      -0.0243862006
   21       0.0042867017      -0.0335678895       0.0171634560
   22      -0.0012917573       0.0000183828      -0.0013590740
   23       0.0008377652      -0.0013124001      -0.0013174849
   24       0.0013829911      -0.0178691801       0.0054515414
   25       0.0022186052       0.0004969215       0.0011755521
   26      -0.0024159145       0.0000931816       0.0002719266
   27      -0.0078999698      -0.0091390623       0.0003220460
   28      -0.0002732840      -0.0108132993       0.0155114547
   29       0.0022233458       0.0092147950      -0.0151086035
   30      -0.0022115122       0.0130518743       0.0143893954
   31       0.0025779292      -0.0136319929      -0.0092148855
   32      -0.0001405466       0.0024994405       0.0014397607
   33       0.0026023738      -0.0051987166      -0.0050979223
   34      -0.0010536443       0.0091549451      -0.0008124236
   35      -0.0005439051       0.0003025701       0.0014794736
   36      -0.0013047055      -0.0004487085      -0.0022616235
   37       0.0006957102      -0.0014017680      -0.0020345979
   38       0.0000086772      -0.0010001885       0.0023041598
   39      -0.0003491476       0.0019458700       0.0011354156
   40       0.0021045613       0.0019539726      -0.0008959651
   41      -0.0015933057      -0.0011795900      -0.0013980711
   42      -0.0017747131      -0.0006321084       0.0008887256
   43       0.0016311220       0.0025038355       0.0007285715
   44       0.0020126320       0.0009636360      -0.0011948110
